#Archive/File	Name	Time	Size	Type
Archive	GSE214411_RAW.tar	02/13/2024 19:31:23	1564313600	TAR
File	GSM6605431_EMS1_barcodes.tsv.gz	08/29/2022 02:46:44	60950	TSV
File	GSM6605431_EMS1_features.tsv.gz	08/29/2022 02:46:49	318733	TSV
File	GSM6605431_EMS1_matrix.mtx.gz	08/29/2022 02:52:17	139234000	MTX
File	GSM6605432_EMS2_barcodes.tsv.gz	09/03/2022 02:39:44	58108	TSV
File	GSM6605432_EMS2_features.tsv.gz	09/03/2022 02:39:50	318733	TSV
File	GSM6605432_EMS2_matrix.mtx.gz	09/03/2022 02:49:33	138355329	MTX
File	GSM6605433_EMS3_barcodes.tsv.gz	09/06/2022 22:44:16	44828	TSV
File	GSM6605433_EMS3_features.tsv.gz	09/06/2022 22:52:35	318733	TSV
File	GSM6605433_EMS3_matrix.mtx.gz	09/06/2022 22:58:42	88195140	MTX
File	GSM6605434_EMS4_barcodes.tsv.gz	09/11/2022 05:28:01	57014	TSV
File	GSM6605434_EMS4_features.tsv.gz	09/11/2022 05:12:33	318733	TSV
File	GSM6605434_EMS4_matrix.mtx.gz	09/11/2022 05:17:37	116706320	MTX
File	GSM6605435_EMS5_barcodes.tsv.gz	09/15/2022 20:52:18	93583	TSV
File	GSM6605435_EMS5_features.tsv.gz	09/15/2022 20:52:16	318733	TSV
File	GSM6605435_EMS5_matrix.mtx.gz	09/15/2022 20:57:40	156982302	MTX
File	GSM6605436_EMS6_barcodes.tsv.gz	09/17/2022 01:39:02	54528	TSV
File	GSM6605436_EMS6_features.tsv.gz	09/17/2022 01:42:49	318733	TSV
File	GSM6605436_EMS6_matrix.mtx.gz	09/17/2022 01:42:46	106893027	MTX
File	GSM6605437_N1_barcodes.tsv.gz	09/18/2022 13:50:39	72726	TSV
File	GSM6605437_N1_features.tsv.gz	09/18/2022 13:55:29	318733	TSV
File	GSM6605437_N1_matrix.mtx.gz	09/18/2022 13:55:27	135774431	MTX
File	GSM6605438_N2_barcodes.tsv.gz	09/19/2022 23:26:13	64451	TSV
File	GSM6605438_N2_features.tsv.gz	09/19/2022 23:26:15	318733	TSV
File	GSM6605438_N2_matrix.mtx.gz	09/19/2022 23:30:07	109591596	MTX
File	GSM6605439_N3_barcodes.tsv.gz	09/21/2022 03:47:04	87104	TSV
File	GSM6605439_N3_features.tsv.gz	09/21/2022 03:47:07	318733	TSV
File	GSM6605439_N3_matrix.mtx.gz	09/21/2022 03:52:58	156776545	MTX
File	GSM6605440_N4_barcodes.tsv.gz	09/22/2022 11:32:31	46426	TSV
File	GSM6605440_N4_features.tsv.gz	09/22/2022 11:32:33	318733	TSV
File	GSM6605440_N4_matrix.mtx.gz	09/22/2022 11:36:13	104502897	MTX
File	GSM7277296_N-5_barcodes.tsv.gz	04/25/2023 07:33:51	47850	TSV
File	GSM7277296_N-5_features.tsv.gz	04/25/2023 07:33:53	318733	TSV
File	GSM7277296_N-5_matrix.mtx.gz	04/25/2023 07:37:44	107582435	MTX
File	GSM7277297_N-6_barcodes.tsv.gz	04/25/2023 07:43:37	46131	TSV
File	GSM7277297_N-6_features.tsv.gz	04/25/2023 07:44:15	318733	TSV
File	GSM7277297_N-6_matrix.mtx.gz	04/25/2023 07:48:48	93627359	MTX
File	GSM7277298_N-7_barcodes.tsv.gz	04/30/2023 04:27:29	44453	TSV
File	GSM7277298_N-7_features.tsv.gz	04/30/2023 04:27:32	318733	TSV
File	GSM7277298_N-7_matrix.mtx.gz	04/30/2023 04:32:30	105128514	MTX
