celltypist_label,n_cells,n_donors,n_libraries,median_confidence,median_margin,scrublet_doublet_fraction
eStromal,52816,29,31,0.9251463,0.8542032,0.001533626173886701
Immune_Lymphoid,23193,29,34,1.0,0.99482375,0.056568792308023974
preGlandular,18508,28,34,0.93534654,0.8489391,0.04652042360060514
dStromal_early,17794,27,28,0.8391504,0.64376557,0.0022479487467685737
SOX9_functionalis_II,13373,28,35,0.96498394,0.9299499,0.0014955507365587378
dStromal_mid,13102,23,25,0.97261035,0.9320655,0.00244237520989162
Venous,13013,29,33,0.99978524,0.9885713,0.05256282179359102
ePV_2,6740,29,31,0.97196627,0.89181936,0.004747774480712166
Immune_Myeloid,6589,29,30,1.0,0.996385,0.024131127636970708
Glandular,6195,14,18,0.99333006,0.97108585,0.026472962066182406
eStromal_cycling,6137,25,25,0.997212,0.97985744,0.0022812449079354733
eHormones,5420,29,34,0.9697801,0.9275267,0.004612546125461255
Cycling,4632,26,32,0.957801,0.89247596,0.0008635578583765112
Glandular_secretory,2992,7,10,0.9931549,0.97472715,0.001336898395721925
Ciliated,2970,28,34,0.999996,0.9872136,0.024242424242424242
SOX9_luminal,2660,28,33,0.85831916,0.6859633,0.0007518796992481203
ePV_1b,2050,29,34,0.99892515,0.9763945,0.005853658536585366
ePV_1a,1752,18,18,0.9975511,0.9772104,0.01141552511415525
eStromal_MMPs,1135,15,15,0.984538,0.9415957,0.001762114537444934
preLuminal,965,11,18,0.8781901,0.7144437,0.0031088082901554403
mPV,875,15,15,0.99571353,0.96912235,0.002285714285714286
dStromal_late,837,5,6,0.8067569,0.6558416,0.007168458781362007
uSMCs,281,3,3,0.99997944,0.99016374,0.0071174377224199285
MUC5B,247,14,15,0.9998345,0.9773501,0.0
HOXA13,109,6,6,0.9657333,0.82822573,0.0
