dataset_id,celltypist_label,n_cells,n_donors,median_confidence,median_margin
Huang_GSE214411,Ciliated,2247,13,0.99999565,0.9856595
Huang_GSE214411,Cycling,2643,13,0.943301,0.85741043
Huang_GSE214411,Glandular,2120,6,0.9785954,0.9220785
Huang_GSE214411,Glandular_secretory,2746,3,0.99476624,0.979444
Huang_GSE214411,HOXA13,107,4,0.9673916,0.8286873
Huang_GSE214411,Immune_Lymphoid,18448,13,1.0,0.9948571
Huang_GSE214411,Immune_Myeloid,1881,13,1.0,0.99578923
Huang_GSE214411,MUC5B,226,10,0.99983954,0.9776381
Huang_GSE214411,SOX9_functionalis_II,8063,13,0.94240373,0.88915366
Huang_GSE214411,SOX9_luminal,1508,13,0.8707166,0.7007679
Huang_GSE214411,Venous,7770,13,0.9998181,0.9890246
Huang_GSE214411,dStromal_early,8870,13,0.78749704,0.51780325
Huang_GSE214411,dStromal_late,3,1,0.6134128,0.17565629
Huang_GSE214411,dStromal_mid,4264,13,0.9211967,0.84024644
Huang_GSE214411,eHormones,229,13,0.4124144,0.2596204
Huang_GSE214411,ePV_1a,102,12,0.9891532,0.9221901
Huang_GSE214411,ePV_1b,1422,13,0.9991845,0.9767122
Huang_GSE214411,ePV_2,3847,13,0.9811721,0.9115814
Huang_GSE214411,eStromal,28138,13,0.9410228,0.8902136
Huang_GSE214411,eStromal_MMPs,65,6,0.65045804,0.5376921
Huang_GSE214411,eStromal_cycling,3171,13,0.9967709,0.97805995
Huang_GSE214411,mPV,25,9,0.98972976,0.936194
Huang_GSE214411,preGlandular,12557,13,0.8499701,0.69145215
Huang_GSE214411,preLuminal,326,5,0.86015826,0.6243974
Huang_GSE214411,uSMCs,7,2,0.762769,0.7127443
Mareckova_E-MTAB-14039,Ciliated,723,15,0.9999965,0.9910383
Mareckova_E-MTAB-14039,Cycling,1989,13,0.971315,0.92707026
Mareckova_E-MTAB-14039,Glandular,4075,8,0.99588186,0.9797006
Mareckova_E-MTAB-14039,Glandular_secretory,246,4,0.8283335,0.6844735
Mareckova_E-MTAB-14039,HOXA13,2,2,0.74383163,0.39626533
Mareckova_E-MTAB-14039,Immune_Lymphoid,4745,16,1.0,0.9947029
Mareckova_E-MTAB-14039,Immune_Myeloid,4708,16,1.0,0.99662066
Mareckova_E-MTAB-14039,MUC5B,21,4,0.9993699,0.9648715
Mareckova_E-MTAB-14039,SOX9_functionalis_II,5310,15,0.98607445,0.96618557
Mareckova_E-MTAB-14039,SOX9_luminal,1152,15,0.84707296,0.67200845
Mareckova_E-MTAB-14039,Venous,5243,16,0.9997084,0.9877735
Mareckova_E-MTAB-14039,dStromal_early,8924,14,0.888571,0.75656754
Mareckova_E-MTAB-14039,dStromal_late,834,4,0.8071904,0.65593183
Mareckova_E-MTAB-14039,dStromal_mid,8838,10,0.98361415,0.9526254
Mareckova_E-MTAB-14039,eHormones,5191,16,0.9730644,0.9339485
Mareckova_E-MTAB-14039,ePV_1a,1650,6,0.99778146,0.97848153
Mareckova_E-MTAB-14039,ePV_1b,628,16,0.9979756,0.97543705
Mareckova_E-MTAB-14039,ePV_2,2893,16,0.95523036,0.86758775
Mareckova_E-MTAB-14039,eStromal,24678,16,0.89576495,0.7906914
Mareckova_E-MTAB-14039,eStromal_MMPs,1070,9,0.9863658,0.94685006
Mareckova_E-MTAB-14039,eStromal_cycling,2966,12,0.9976043,0.98213387
Mareckova_E-MTAB-14039,mPV,850,6,0.99593973,0.9700053
Mareckova_E-MTAB-14039,preGlandular,5951,15,0.98578846,0.9627774
Mareckova_E-MTAB-14039,preLuminal,639,6,0.8864081,0.7412475
Mareckova_E-MTAB-14039,uSMCs,274,1,0.99998224,0.99038935
