celltypist_label,disease_group,n_cells,proportion,n_donors,percent,total_cells_in_cell_type
Ciliated,Normal,1630,0.5488215488215489,14,54.882154882154886,2970
Cycling,Normal,1721,0.37154576856649396,13,37.1545768566494,4632
Glandular,Normal,445,0.07183212267958031,6,7.183212267958031,6195
Glandular_secretory,Normal,2690,0.8990641711229946,3,89.90641711229947,2992
HOXA13,Normal,25,0.22935779816513763,3,22.93577981651376,109
Immune_Lymphoid,Normal,6884,0.29681369378691846,14,29.681369378691848,23193
Immune_Myeloid,Normal,1258,0.19092426771892548,14,19.092426771892548,6589
MUC5B,Normal,86,0.3481781376518219,8,34.81781376518219,247
SOX9_functionalis_II,Normal,6827,0.5105062439243251,14,51.05062439243251,13373
SOX9_luminal,Normal,594,0.22330827067669173,14,22.330827067669173,2660
Venous,Normal,8106,0.6229155459924691,14,62.291554599246915,13013
dStromal_early,Normal,8801,0.49460492300775544,12,49.46049230077554,17794
dStromal_late,Normal,6,0.007168458781362007,2,0.7168458781362007,837
dStromal_mid,Normal,3221,0.24584032972065334,11,24.584032972065334,13102
eHormones,Normal,1263,0.2330258302583026,14,23.30258302583026,5420
ePV_1a,Normal,1659,0.946917808219178,7,94.6917808219178,1752
ePV_1b,Normal,1042,0.5082926829268293,14,50.829268292682926,2050
ePV_2,Normal,3210,0.4762611275964392,14,47.62611275964392,6740
eStromal,Normal,27605,0.5226635867918813,14,52.26635867918813,52816
eStromal_MMPs,Normal,53,0.04669603524229075,9,4.669603524229075,1135
eStromal_cycling,Normal,3225,0.5255010591494216,12,52.55010591494216,6137
mPV,Normal,857,0.9794285714285714,7,97.94285714285714,875
preGlandular,Normal,6340,0.3425545709963259,14,34.255457099632594,18508
preLuminal,Normal,536,0.555440414507772,4,55.5440414507772,965
uSMCs,Normal,280,0.99644128113879,2,99.644128113879,281
Ciliated,Endometriosis,1340,0.4511784511784512,14,45.11784511784512,2970
Cycling,Endometriosis,2911,0.6284542314335061,13,62.84542314335061,4632
Glandular,Endometriosis,5750,0.9281678773204197,8,92.81678773204197,6195
Glandular_secretory,Endometriosis,302,0.10093582887700535,4,10.093582887700535,2992
HOXA13,Endometriosis,84,0.7706422018348624,3,77.06422018348624,109
Immune_Lymphoid,Endometriosis,16309,0.7031863062130815,15,70.31863062130816,23193
Immune_Myeloid,Endometriosis,5331,0.8090757322810745,15,80.90757322810745,6589
MUC5B,Endometriosis,161,0.6518218623481782,6,65.18218623481782,247
SOX9_functionalis_II,Endometriosis,6546,0.48949375607567486,14,48.94937560756748,13373
SOX9_luminal,Endometriosis,2066,0.7766917293233083,14,77.66917293233084,2660
Venous,Endometriosis,4907,0.37708445400753093,15,37.70844540075309,13013
dStromal_early,Endometriosis,8993,0.5053950769922446,15,50.53950769922446,17794
dStromal_late,Endometriosis,831,0.992831541218638,3,99.2831541218638,837
dStromal_mid,Endometriosis,9881,0.7541596702793467,12,75.41596702793467,13102
eHormones,Endometriosis,4157,0.7669741697416974,15,76.69741697416974,5420
ePV_1a,Endometriosis,93,0.053082191780821915,11,5.308219178082192,1752
ePV_1b,Endometriosis,1008,0.4917073170731707,15,49.170731707317074,2050
ePV_2,Endometriosis,3530,0.5237388724035609,15,52.37388724035609,6740
eStromal,Endometriosis,25211,0.47733641320811876,15,47.73364132081188,52816
eStromal_MMPs,Endometriosis,1082,0.9533039647577093,6,95.33039647577093,1135
eStromal_cycling,Endometriosis,2912,0.4744989408505785,13,47.44989408505785,6137
mPV,Endometriosis,18,0.02057142857142857,8,2.057142857142857,875
preGlandular,Endometriosis,12168,0.6574454290036741,14,65.7445429003674,18508
preLuminal,Endometriosis,429,0.44455958549222796,7,44.4559585492228,965
uSMCs,Endometriosis,1,0.0035587188612099642,1,0.3558718861209964,281
