celltypist_label,Normal,Endometriosis
Ciliated,1630,1340
Cycling,1721,2911
Glandular,445,5750
Glandular_secretory,2690,302
HOXA13,25,84
Immune_Lymphoid,6884,16309
Immune_Myeloid,1258,5331
MUC5B,86,161
SOX9_functionalis_II,6827,6546
SOX9_luminal,594,2066
Venous,8106,4907
dStromal_early,8801,8993
dStromal_late,6,831
dStromal_mid,3221,9881
eHormones,1263,4157
ePV_1a,1659,93
ePV_1b,1042,1008
ePV_2,3210,3530
eStromal,27605,25211
eStromal_MMPs,53,1082
eStromal_cycling,3225,2912
mPV,857,18
preGlandular,6340,12168
preLuminal,536,429
uSMCs,280,1
