celltypist_label,Normal,Endometriosis
Ciliated,0.5488215488215489,0.4511784511784512
Cycling,0.37154576856649396,0.6284542314335061
Glandular,0.07183212267958031,0.9281678773204197
Glandular_secretory,0.8990641711229946,0.10093582887700535
HOXA13,0.22935779816513763,0.7706422018348624
Immune_Lymphoid,0.29681369378691846,0.7031863062130815
Immune_Myeloid,0.19092426771892548,0.8090757322810745
MUC5B,0.3481781376518219,0.6518218623481782
SOX9_functionalis_II,0.5105062439243251,0.48949375607567486
SOX9_luminal,0.22330827067669173,0.7766917293233083
Venous,0.6229155459924691,0.37708445400753093
dStromal_early,0.49460492300775544,0.5053950769922446
dStromal_late,0.007168458781362007,0.992831541218638
dStromal_mid,0.24584032972065334,0.7541596702793467
eHormones,0.2330258302583026,0.7669741697416974
ePV_1a,0.946917808219178,0.053082191780821915
ePV_1b,0.5082926829268293,0.4917073170731707
ePV_2,0.4762611275964392,0.5237388724035609
eStromal,0.5226635867918813,0.47733641320811876
eStromal_MMPs,0.04669603524229075,0.9533039647577093
eStromal_cycling,0.5255010591494216,0.4744989408505785
mPV,0.9794285714285714,0.02057142857142857
preGlandular,0.3425545709963259,0.6574454290036741
preLuminal,0.555440414507772,0.44455958549222796
uSMCs,0.99644128113879,0.0035587188612099642
