donor_id,Ciliated,Cycling,Glandular,Glandular_secretory,HOXA13,Immune_Lymphoid,Immune_Myeloid,MUC5B,SOX9_functionalis_II,SOX9_luminal,Venous,dStromal_early,dStromal_late,dStromal_mid,eHormones,ePV_1a,ePV_1b,ePV_2,eStromal,eStromal_MMPs,eStromal_cycling,mPV,preGlandular,preLuminal,uSMCs
GSE214411::EMS1,116,505,5,0,0,2423,89,1,291,26,335,1793,0,103,5,2,37,205,1584,0,54,1,2013,72,0
GSE214411::EMS2,267,519,0,0,0,1614,206,1,1113,448,658,99,0,4,8,8,45,439,3133,1,361,0,381,0,0
GSE214411::EMS3,29,38,0,0,0,2755,137,0,1244,65,603,50,0,12,34,34,107,247,1379,19,115,3,95,0,0
GSE214411::EMS4,91,182,0,0,0,2130,317,10,1567,118,497,81,0,14,16,1,51,500,1834,4,171,0,257,0,0
GSE214411::EMS5,94,166,8,0,82,1696,66,144,177,269,638,1797,0,64,9,2,24,100,488,0,45,1,6931,39,0
GSE214411::EMS6,213,42,1728,61,1,1864,58,0,282,162,370,936,0,1065,23,7,316,121,232,0,7,8,821,6,1
GSE214411::N1,18,1,270,2684,2,1033,57,1,1,2,866,110,3,2628,4,22,173,170,109,0,1,0,5,34,0
GSE214411::N2,32,45,0,0,0,651,64,1,586,39,247,454,0,28,73,3,72,205,4110,0,222,3,148,0,0
GSE214411::N3,159,505,0,0,0,1120,474,52,757,148,856,130,0,17,12,10,82,632,6070,38,953,5,187,0,0
GSE214411::N4,70,226,0,0,0,973,143,13,1253,65,710,87,0,1,14,8,52,363,2873,2,201,1,132,0,0
GSE214411::N5,765,13,107,1,0,1412,71,1,125,7,1281,1597,0,317,10,3,366,295,89,0,6,2,1017,175,0
GSE214411::N6,235,79,0,0,22,404,165,0,284,51,399,252,0,3,19,2,39,275,2926,0,731,0,153,0,0
GSE214411::N7,158,322,2,0,0,373,34,2,383,108,310,1484,0,8,2,0,58,295,3311,1,304,1,417,0,6
Mareckova_E-MTAB-14039::A70,30,0,3,0,0,204,4,0,58,29,2497,0,0,22,903,1611,30,90,314,1,0,843,124,0,274
Mareckova_E-MTAB-14039::ES345,128,454,5,0,0,91,31,0,197,39,311,3745,0,192,9,0,108,381,403,1,72,0,4048,326,0
Mareckova_E-MTAB-14039::FX1119,20,20,0,0,0,123,47,0,188,33,50,16,3,0,5,0,9,43,629,2,120,0,23,0,0
Mareckova_E-MTAB-14039::FX1125,0,18,0,0,0,671,182,0,10,4,43,57,0,3,4,3,6,72,3115,0,428,1,8,0,0
Mareckova_E-MTAB-14039::FX1146,9,15,58,5,1,315,98,0,2514,3,490,854,0,0,47,0,42,396,5616,0,538,2,31,1,0
Mareckova_E-MTAB-14039::FX1156,42,0,3975,233,0,114,42,0,11,0,152,193,2,8506,81,3,116,204,662,0,7,2,24,302,0
Mareckova_E-MTAB-14039::FX1176,97,88,0,0,0,307,86,0,242,254,76,53,0,1,14,0,12,119,1845,0,54,0,213,0,0
Mareckova_E-MTAB-14039::FX1249,20,12,6,4,0,537,1270,1,19,17,155,33,1,1,3112,5,52,125,228,1052,0,1,29,0,0
Mareckova_E-MTAB-14039::FX1254,4,0,11,4,0,1580,2614,0,0,9,166,6,828,54,658,27,3,178,27,5,3,0,4,8,0
Mareckova_E-MTAB-14039::FX1259,123,616,3,0,0,270,139,0,1205,397,299,63,0,0,35,0,63,330,3794,1,410,0,196,1,0
Mareckova_E-MTAB-14039::FX1285,1,18,0,0,0,56,16,0,7,13,8,2,0,0,8,0,5,2,81,0,0,0,0,1,0
Mareckova_E-MTAB-14039::FX1289,3,20,0,0,1,10,16,4,95,3,12,3,0,0,21,0,7,7,140,0,23,0,4,0,0
Mareckova_E-MTAB-14039::FX9006,240,687,14,0,0,282,93,0,283,281,895,3827,0,54,129,1,164,881,6669,0,1234,1,1192,0,0
Mareckova_E-MTAB-14039::SE02,2,6,0,0,0,38,26,6,2,2,29,0,0,0,48,0,4,11,27,6,0,0,4,0,0
Mareckova_E-MTAB-14039::SE03,1,30,0,0,0,16,3,10,464,34,19,6,0,3,17,0,3,13,226,1,12,0,8,0,0
Mareckova_E-MTAB-14039::SE06,3,5,0,0,0,131,41,0,15,34,41,66,0,2,100,0,4,41,902,1,65,0,43,0,0
