leiden_scvi,Ciliated,Cycling,Glandular,Glandular_secretory,HOXA13,Immune_Lymphoid,Immune_Myeloid,MUC5B,SOX9_functionalis_II,SOX9_luminal,Venous,dStromal_early,dStromal_late,dStromal_mid,eHormones,ePV_1a,ePV_1b,ePV_2,eStromal,eStromal_MMPs,eStromal_cycling,mPV,preGlandular,preLuminal,uSMCs
0,1,0,1,0,0,33,6,0,0,0,5,9,0,14,3,1751,2046,5331,238,50,15,51,4,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1040,0,0,0,0,0
2,0,0,0,0,0,2,0,0,0,0,1,4799,0,93,0,0,0,112,7387,2,94,0,48,0,0
3,1,0,1,0,0,1,2,0,1,0,6,107,2,19,1,0,0,5,9089,0,4,47,5,0,0
4,0,0,0,0,0,0,0,0,0,0,1033,271,0,0,0,0,0,0,1,0,0,0,0,0,0
5,2,0,0,0,0,11,2,0,0,0,4,312,0,8,0,0,0,609,17720,29,95,0,13,0,1
6,0,0,0,0,0,3,2,0,0,0,0,6,0,0,0,0,0,145,1637,0,5872,0,3,0,0
7,0,0,0,0,0,14,1,0,0,0,1,233,0,40,0,0,0,158,9247,3,17,0,19,0,8
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0
9,0,0,0,0,0,192,9,0,0,0,11002,3,0,1,0,0,0,0,0,0,0,0,0,0,0
10,1,0,0,0,0,9026,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,128,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,1744,947,0,0,8,0,0,230,13,1,0,0,0,5,0,0,0,0,0,0,0,9785,10,0
13,0,80,7,0,0,11,0,0,2,2208,0,0,0,0,4,0,0,0,0,0,0,0,25,602,0
14,11,2794,1,0,0,490,1,0,7773,418,4,0,0,0,276,0,0,0,0,0,0,0,1021,0,0
15,1,4,0,0,0,2,0,0,2722,1,0,0,0,0,2,0,0,0,6,0,0,0,4,0,0
16,1,0,294,0,0,0,0,5,0,0,0,210,0,0,1402,0,0,0,22,0,0,0,3,0,0
17,1,5,341,0,0,0,0,0,7,1,2,4,0,0,2,0,0,0,6,0,0,0,1830,0,0
18,0,0,0,0,0,0,0,0,546,0,411,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,4570,2991,0,69,0,0,2,1,1,0,0,0,2,0,0,0,0,0,0,0,0,351,0
20,2,0,0,0,0,0,1,0,0,0,2,10777,0,176,0,0,1,186,6760,9,35,0,71,0,0
21,0,0,27,0,0,5,1,0,0,0,1,989,15,12308,0,1,3,194,145,0,1,1,9,0,2
22,0,0,0,0,0,0,0,0,0,0,0,0,820,1,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,1714,19,0,0,0,0,0,0,0,0,0,0,0,37,2,4,0,0,0,0
24,2925,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,24,1,5,0,6,122,15,0,4,6,533,74,0,0,13,0,0,0,423,0,0,0,5660,1,0
26,0,2,0,0,0,10,0,0,2083,2,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
27,0,0,0,0,0,8346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
28,0,0,0,0,0,689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,53,6530,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
30,0,0,0,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,103,0,0,0,0,0,0,0,0,441,0,0,0,0,2,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,776,0,0,269
34,0,0,0,0,0,1101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,0,0,0,0,471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0,1,0,0,0,0,0,0,2,10,0,0,0,0,3098,0,0,0,0,0,0,0,5,0,0
37,0,0,0,0,0,0,0,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,0,1,0,0,0,0,0,0,0,0,0,0,0,612,0,0,0,0,0,0,0,0,1,0
