library_id,Ciliated,Cycling,Glandular,Glandular_secretory,HOXA13,Immune_Lymphoid,Immune_Myeloid,MUC5B,SOX9_functionalis_II,SOX9_luminal,Venous,dStromal_early,dStromal_late,dStromal_mid,eHormones,ePV_1a,ePV_1b,ePV_2,eStromal,eStromal_MMPs,eStromal_cycling,mPV,preGlandular,preLuminal,uSMCs
GSE214411::GSM6605431,116,505,5,0,0,2423,89,1,291,26,335,1793,0,103,5,2,37,205,1584,0,54,1,2013,72,0
GSE214411::GSM6605432,267,519,0,0,0,1614,206,1,1113,448,658,99,0,4,8,8,45,439,3133,1,361,0,381,0,0
GSE214411::GSM6605433,29,38,0,0,0,2755,137,0,1244,65,603,50,0,12,34,34,107,247,1379,19,115,3,95,0,0
GSE214411::GSM6605434,91,182,0,0,0,2130,317,10,1567,118,497,81,0,14,16,1,51,500,1834,4,171,0,257,0,0
GSE214411::GSM6605435,94,166,8,0,82,1696,66,144,177,269,638,1797,0,64,9,2,24,100,488,0,45,1,6931,39,0
GSE214411::GSM6605436,213,42,1728,61,1,1864,58,0,282,162,370,936,0,1065,23,7,316,121,232,0,7,8,821,6,1
GSE214411::GSM6605437,18,1,270,2684,2,1033,57,1,1,2,866,110,3,2628,4,22,173,170,109,0,1,0,5,34,0
GSE214411::GSM6605438,32,45,0,0,0,651,64,1,586,39,247,454,0,28,73,3,72,205,4110,0,222,3,148,0,0
GSE214411::GSM6605439,159,505,0,0,0,1120,474,52,757,148,856,130,0,17,12,10,82,632,6070,38,953,5,187,0,0
GSE214411::GSM6605440,70,226,0,0,0,973,143,13,1253,65,710,87,0,1,14,8,52,363,2873,2,201,1,132,0,0
GSE214411::GSM7277296,765,13,107,1,0,1412,71,1,125,7,1281,1597,0,317,10,3,366,295,89,0,6,2,1017,175,0
GSE214411::GSM7277297,235,79,0,0,22,404,165,0,284,51,399,252,0,3,19,2,39,275,2926,0,731,0,153,0,0
GSE214411::GSM7277298,158,322,2,0,0,373,34,2,383,108,310,1484,0,8,2,0,58,295,3311,1,304,1,417,0,6
Mareckova_E-MTAB-14039::FRZFRESH_GX25,30,27,0,0,0,21,9,0,44,0,79,1761,0,61,4,0,30,164,257,1,58,0,286,14,0
Mareckova_E-MTAB-14039::FRZFRESH_GX26,52,168,5,0,0,1,0,0,41,21,1,11,0,0,1,0,2,2,2,0,0,0,1836,215,0
Mareckova_E-MTAB-14039::FRZFRESH_GX27,20,65,0,0,0,67,22,0,91,1,225,1963,0,130,2,0,70,213,144,0,14,0,458,8,0
Mareckova_E-MTAB-14039::FRZFRESH_GX28,26,194,0,0,0,2,0,0,21,17,6,10,0,1,2,0,6,2,0,0,0,0,1468,89,0
Mareckova_E-MTAB-14039::HCA_A_RepT_RNA13247830,30,0,3,0,0,204,4,0,58,29,2497,0,0,22,903,1611,30,90,314,1,0,843,124,0,274
Mareckova_E-MTAB-14039::UA_Endo10298210,3,0,0,0,0,938,265,0,4,2,115,110,0,4,8,3,17,191,4959,0,482,1,2,0,0
Mareckova_E-MTAB-14039::UA_Endo10298211,94,106,0,0,0,40,3,0,248,256,4,0,0,0,10,0,1,0,1,0,0,0,219,0,0
Mareckova_E-MTAB-14039::UA_Endo10298212,35,8,75,1,0,143,49,0,19,6,249,601,1,2696,93,1,78,453,3404,0,366,1,17,3,0
Mareckova_E-MTAB-14039::UA_Endo10298213,174,621,3038,175,0,4,6,0,215,239,14,1,1,8,5,0,2,4,2,0,0,0,1096,261,0
Mareckova_E-MTAB-14039::UA_Endo12680031,52,53,1,0,0,365,182,0,347,67,316,79,3,0,30,0,63,347,4408,3,525,0,144,0,0
Mareckova_E-MTAB-14039::UA_Endo12680032,91,583,2,0,0,28,4,0,1046,363,33,0,0,0,10,0,9,26,15,0,5,0,75,1,0
Mareckova_E-MTAB-14039::UA_Endo12680033,3,0,6,3,0,1951,3831,1,8,4,264,39,643,55,313,23,52,238,249,897,1,1,15,1,0
Mareckova_E-MTAB-14039::UA_Endo12680034,21,12,11,5,0,166,53,0,11,22,57,0,186,0,3457,9,3,65,6,160,2,0,18,7,0
Mareckova_E-MTAB-14039::UA_Endo12961679,2,6,0,0,0,87,42,4,2,3,37,2,0,0,36,0,8,13,108,3,0,0,2,1,0
Mareckova_E-MTAB-14039::UA_Endo12961680,1,18,0,0,0,7,0,2,7,12,0,0,0,0,20,0,1,0,0,3,0,0,2,0,0
Mareckova_E-MTAB-14039::UA_Endo12961681,0,3,0,0,1,23,19,6,9,6,28,9,0,3,29,0,9,19,353,1,35,0,11,0,0
Mareckova_E-MTAB-14039::UA_Endo12961682,4,47,0,0,0,3,0,8,550,31,3,0,0,0,9,0,1,1,13,0,0,0,1,0,0
Mareckova_E-MTAB-14039::UA_Endo13646709,3,5,0,0,0,131,41,0,15,34,41,66,0,2,100,0,4,41,902,1,65,0,43,0,0
Mareckova_E-MTAB-14039::UA_Endo9426399,5,8,6,0,1,315,98,0,40,3,490,854,0,0,47,0,42,396,5616,0,538,2,31,0,0
Mareckova_E-MTAB-14039::UA_Endo9426400,4,7,52,5,0,0,0,0,2474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Mareckova_E-MTAB-14039::UA_Endo9426401,60,11,267,2,0,246,78,0,31,7,782,3417,0,5854,30,3,197,628,3925,0,875,2,68,3,0
Mareckova_E-MTAB-14039::UA_Endo9426402,13,47,609,55,0,3,2,0,29,29,2,1,0,2,82,0,3,0,0,0,0,0,35,35,0
