celltypist_label,menstrual_cycle_stage_fine,n_cells,proportion,n_donors,percent,total_cells_in_cell_type
Ciliated,Menstrual,3,0.00101010101010101,1,0.10101010101010101,2970
Cycling,Menstrual,5,0.001079447322970639,1,0.1079447322970639,4632
Glandular,Menstrual,0,0.0,0,0.0,6195
Glandular_secretory,Menstrual,0,0.0,0,0.0,2992
HOXA13,Menstrual,0,0.0,0,0.0,109
Immune_Lymphoid,Menstrual,131,0.005648255939292027,1,0.5648255939292027,23193
Immune_Myeloid,Menstrual,41,0.006222492032174837,1,0.6222492032174837,6589
MUC5B,Menstrual,0,0.0,0,0.0,247
SOX9_functionalis_II,Menstrual,15,0.0011216630524190532,1,0.11216630524190532,13373
SOX9_luminal,Menstrual,34,0.012781954887218045,1,1.2781954887218046,2660
Venous,Menstrual,41,0.003150695458387766,1,0.3150695458387766,13013
dStromal_early,Menstrual,66,0.0037091154321681466,1,0.37091154321681463,17794
dStromal_late,Menstrual,0,0.0,0,0.0,837
dStromal_mid,Menstrual,2,0.00015264845061822624,1,0.015264845061822624,13102
eHormones,Menstrual,100,0.01845018450184502,1,1.8450184501845017,5420
ePV_1a,Menstrual,0,0.0,0,0.0,1752
ePV_1b,Menstrual,4,0.001951219512195122,1,0.1951219512195122,2050
ePV_2,Menstrual,41,0.0060830860534124625,1,0.6083086053412462,6740
eStromal,Menstrual,902,0.01707815813389882,1,1.7078158133898818,52816
eStromal_MMPs,Menstrual,1,0.000881057268722467,1,0.0881057268722467,1135
eStromal_cycling,Menstrual,65,0.010591494215414698,1,1.0591494215414698,6137
mPV,Menstrual,0,0.0,0,0.0,875
preGlandular,Menstrual,43,0.002323319645558677,1,0.23233196455586771,18508
preLuminal,Menstrual,0,0.0,0,0.0,965
uSMCs,Menstrual,0,0.0,0,0.0,281
Ciliated,Proliferative Early,3,0.00101010101010101,2,0.10101010101010101,2970
Cycling,Proliferative Early,24,0.0051813471502590676,2,0.5181347150259068,4632
Glandular,Proliferative Early,0,0.0,0,0.0,6195
Glandular_secretory,Proliferative Early,0,0.0,0,0.0,2992
HOXA13,Proliferative Early,0,0.0,0,0.0,109
Immune_Lymphoid,Proliferative Early,94,0.004052947009873669,2,0.4052947009873669,23193
Immune_Myeloid,Proliferative Early,42,0.0063742601305205645,2,0.6374260130520565,6589
MUC5B,Proliferative Early,6,0.024291497975708502,1,2.42914979757085,247
SOX9_functionalis_II,Proliferative Early,9,0.000672997831451432,2,0.06729978314514319,13373
SOX9_luminal,Proliferative Early,15,0.005639097744360902,2,0.5639097744360901,2660
Venous,Proliferative Early,37,0.002843310535618228,2,0.2843310535618228,13013
dStromal_early,Proliferative Early,2,0.00011239743733842868,1,0.011239743733842868,17794
dStromal_late,Proliferative Early,0,0.0,0,0.0,837
dStromal_mid,Proliferative Early,0,0.0,0,0.0,13102
eHormones,Proliferative Early,56,0.010332103321033211,2,1.033210332103321,5420
ePV_1a,Proliferative Early,0,0.0,0,0.0,1752
ePV_1b,Proliferative Early,9,0.004390243902439025,2,0.4390243902439025,2050
ePV_2,Proliferative Early,13,0.0019287833827893175,2,0.19287833827893175,6740
eStromal,Proliferative Early,108,0.0020448348985156015,2,0.20448348985156015,52816
eStromal_MMPs,Proliferative Early,6,0.0052863436123348016,1,0.5286343612334802,1135
eStromal_cycling,Proliferative Early,0,0.0,0,0.0,6137
mPV,Proliferative Early,0,0.0,0,0.0,875
preGlandular,Proliferative Early,4,0.0002161227577263886,1,0.02161227577263886,18508
preLuminal,Proliferative Early,1,0.0010362694300518134,1,0.10362694300518134,965
uSMCs,Proliferative Early,0,0.0,0,0.0,281
Ciliated,Proliferative,805,0.27104377104377103,11,27.104377104377104,2970
Cycling,Proliferative,1686,0.3639896373056995,11,36.39896373056995,4632
Glandular,Proliferative,61,0.009846650524616626,2,0.9846650524616627,6195
Glandular_secretory,Proliferative,5,0.0016711229946524064,1,0.16711229946524064,2992
HOXA13,Proliferative,1,0.009174311926605505,1,0.9174311926605505,109
Immune_Lymphoid,Proliferative,10879,0.4690639417065494,12,46.90639417065494,23193
Immune_Myeloid,Proliferative,1761,0.2672636211868265,12,26.72636211868265,6589
MUC5B,Proliferative,87,0.3522267206477733,6,35.22267206477733,247
SOX9_functionalis_II,Proliferative,9996,0.7474762581320571,12,74.74762581320572,13373
SOX9_luminal,Proliferative,1240,0.46616541353383456,12,46.616541353383454,2660
Venous,Proliferative,6746,0.5184046722508261,12,51.84046722508261,13013
dStromal_early,Proliferative,1887,0.10604698212880746,11,10.604698212880747,17794
dStromal_late,Proliferative,3,0.0035842293906810036,1,0.35842293906810035,837
dStromal_mid,Proliferative,105,0.008014043657456877,10,0.8014043657456877,13102
eHormones,Proliferative,1147,0.21162361623616235,12,21.162361623616235,5420
ePV_1a,Proliferative,1678,0.9577625570776256,8,95.77625570776256,1752
ePV_1b,Proliferative,511,0.24926829268292683,12,24.926829268292682,2050
ePV_2,Proliferative,3119,0.46275964391691393,12,46.275964391691396,6740
eStromal,Proliferative,31144,0.5896697970312027,12,58.96697970312027,52816
eStromal_MMPs,Proliferative,68,0.05991189427312775,8,5.991189427312775,1135
eStromal_cycling,Proliferative,3175,0.5173537559067949,11,51.73537559067949,6137
mPV,Proliferative,858,0.9805714285714285,7,98.05714285714285,875
preGlandular,Proliferative,1607,0.08682731791657662,12,8.682731791657663,18508
preLuminal,Proliferative,1,0.0010362694300518134,1,0.10362694300518134,965
uSMCs,Proliferative,274,0.9750889679715302,1,97.50889679715303,281
Ciliated,Proliferative Late,126,0.04242424242424243,2,4.242424242424243,2970
Cycling,Proliferative Late,636,0.13730569948186527,2,13.730569948186528,4632
Glandular,Proliferative Late,3,0.00048426150121065375,1,0.048426150121065374,6195
Glandular_secretory,Proliferative Late,0,0.0,0,0.0,2992
HOXA13,Proliferative Late,1,0.009174311926605505,1,0.9174311926605505,109
Immune_Lymphoid,Proliferative Late,280,0.01207260811451731,2,1.2072608114517311,23193
Immune_Myeloid,Proliferative Late,155,0.023524055243587798,2,2.3524055243587796,6589
MUC5B,Proliferative Late,4,0.016194331983805668,1,1.6194331983805668,247
SOX9_functionalis_II,Proliferative Late,1300,0.09721079787631795,2,9.721079787631796,13373
SOX9_luminal,Proliferative Late,400,0.15037593984962405,2,15.037593984962406,2660
Venous,Proliferative Late,311,0.023899177745331592,2,2.389917774533159,13013
dStromal_early,Proliferative Late,66,0.0037091154321681466,2,0.37091154321681463,17794
dStromal_late,Proliferative Late,0,0.0,0,0.0,837
dStromal_mid,Proliferative Late,0,0.0,0,0.0,13102
eHormones,Proliferative Late,56,0.010332103321033211,2,1.033210332103321,5420
ePV_1a,Proliferative Late,0,0.0,0,0.0,1752
ePV_1b,Proliferative Late,70,0.03414634146341464,2,3.414634146341464,2050
ePV_2,Proliferative Late,337,0.05,2,5.0,6740
eStromal,Proliferative Late,3934,0.07448500454407755,2,7.448500454407755,52816
eStromal_MMPs,Proliferative Late,1,0.000881057268722467,1,0.0881057268722467,1135
eStromal_cycling,Proliferative Late,433,0.07055564608114714,2,7.0555646081147145,6137
