celltypist_label,Menstrual,Proliferative Early,Proliferative,Proliferative Late,Secretory Early,Secretory Mid,Hormones,Unknown
Ciliated,0.00101010101010101,0.00101010101010101,0.27104377104377103,0.04242424242424243,0.16296296296296298,0.12356902356902356,0.00808080808080808,0.3898989898989899
Cycling,0.001079447322970639,0.0051813471502590676,0.3639896373056995,0.13730569948186527,0.3553540587219344,0.04512089810017271,0.0025906735751295338,0.08937823834196891
Glandular,0.0,0.0,0.009846650524616626,0.00048426150121065375,0.00387409200968523,0.96545601291364,0.0027441485068603715,0.017594834543987085
Glandular_secretory,0.0,0.0,0.0016711229946524064,0.0,0.0,0.9953208556149733,0.00267379679144385,0.00033422459893048126
HOXA13,0.0,0.0,0.009174311926605505,0.009174311926605505,0.0,0.7798165137614679,0.0,0.2018348623853211
Immune_Lymphoid,0.005648255939292027,0.004052947009873669,0.4690639417065494,0.01207260811451731,0.12055361531496572,0.20294916569654636,0.09127754063726125,0.09438192558099427
Immune_Myeloid,0.006222492032174837,0.0063742601305205645,0.2672636211868265,0.023524055243587798,0.03232660494764,0.033844285931097284,0.5894672939748065,0.040977386553346484
MUC5B,0.0,0.024291497975708502,0.3522267206477733,0.016194331983805668,0.004048582995951417,0.5870445344129555,0.004048582995951417,0.012145748987854251
SOX9_functionalis_II,0.0011216630524190532,0.000672997831451432,0.7474762581320571,0.09721079787631795,0.05765348089433934,0.03522021984595827,0.0014207731997308009,0.059223809167726016
SOX9_luminal,0.012781954887218045,0.005639097744360902,0.46616541353383456,0.15037593984962405,0.13007518796992482,0.16278195488721806,0.009774436090225564,0.062406015037593986
Venous,0.003150695458387766,0.002843310535618228,0.5184046722508261,0.023899177745331592,0.11842004149696457,0.15569046338277107,0.024667640052255437,0.15292399907784524
dStromal_early,0.0037091154321681466,0.00011239743733842868,0.10604698212880746,0.0037091154321681466,0.5263010003371923,0.17061930987973475,0.0021917500280993593,0.1873103293244914
dStromal_late,0.0,0.0,0.0035842293906810036,0.0,0.0,0.005973715651135006,0.9904420549581839,0.0
dStromal_mid,0.00015264845061822624,0.0,0.008014043657456877,0.0,0.026637154632880477,0.9359639749656541,0.004197832392001221,0.025034345901389102
eHormones,0.01845018450184502,0.010332103321033211,0.21162361623616235,0.010332103321033211,0.026383763837638376,0.02158671586715867,0.6955719557195572,0.0057195571955719554
ePV_1a,0.0,0.0,0.9577625570776256,0.0,0.0017123287671232876,0.019406392694063926,0.0182648401826484,0.0028538812785388126
ePV_1b,0.001951219512195122,0.004390243902439025,0.24926829268292683,0.03414634146341464,0.15073170731707317,0.3068292682926829,0.026829268292682926,0.22585365853658537
ePV_2,0.0060830860534124625,0.0019287833827893175,0.46275964391691393,0.05,0.21765578635014837,0.08827893175074183,0.044955489614243324,0.12833827893175073
eStromal,0.01707815813389882,0.0020448348985156015,0.5896697970312027,0.07448500454407755,0.1638897303847319,0.02823008179339594,0.004828082399272947,0.11977431081490457
eStromal_MMPs,0.000881057268722467,0.0052863436123348016,0.05991189427312775,0.000881057268722467,0.000881057268722467,0.0,0.9312775330396476,0.000881057268722467
eStromal_cycling,0.010591494215414698,0.0,0.5173537559067949,0.07055564608114714,0.22160664819944598,0.009776763891152028,0.0004888381945576015,0.1696268535114877
mPV,0.0,0.0,0.9805714285714285,0.0,0.002285714285714286,0.012571428571428572,0.001142857142857143,0.0034285714285714284
preGlandular,0.002323319645558677,0.0002161227577263886,0.08682731791657662,0.01080613788631943,0.3918845904473741,0.4204127944672574,0.001783012751242706,0.08574670412794468
preLuminal,0.0,0.0010362694300518134,0.0010362694300518134,0.0010362694300518134,0.41243523316062175,0.39481865284974094,0.008290155440414507,0.18134715025906736
uSMCs,0.0,0.0,0.9750889679715302,0.0,0.0,0.0035587188612099642,0.0,0.021352313167259787
