dataset_id,celltypist_label,Normal,Endometriosis,minimum_donors_per_disease,model_eligible
Huang_GSE214411,Ciliated,6,6,6,True
Huang_GSE214411,Cycling,5,6,5,True
Huang_GSE214411,Glandular,2,1,1,False
Huang_GSE214411,Glandular_secretory,1,1,1,False
Huang_GSE214411,HOXA13,1,1,1,False
Huang_GSE214411,Immune_Lymphoid,7,6,6,True
Huang_GSE214411,Immune_Myeloid,7,6,6,True
Huang_GSE214411,MUC5B,1,1,1,False
Huang_GSE214411,SOX9_functionalis_II,6,6,6,True
Huang_GSE214411,SOX9_luminal,5,6,5,True
Huang_GSE214411,Venous,7,6,6,True
Huang_GSE214411,dStromal_early,7,6,6,True
Huang_GSE214411,dStromal_mid,3,3,3,True
Huang_GSE214411,eHormones,1,2,1,False
Huang_GSE214411,ePV_1a,1,1,1,False
Huang_GSE214411,ePV_1b,7,6,6,True
Huang_GSE214411,ePV_2,7,6,6,True
Huang_GSE214411,eStromal,7,6,6,True
Huang_GSE214411,eStromal_MMPs,1,0,0,False
Huang_GSE214411,eStromal_cycling,5,5,5,True
Huang_GSE214411,preGlandular,6,6,6,True
Huang_GSE214411,preLuminal,2,2,2,False
Mareckova_E-MTAB-14039,Ciliated,2,4,2,False
Mareckova_E-MTAB-14039,Cycling,3,4,3,True
Mareckova_E-MTAB-14039,Glandular,1,1,1,False
Mareckova_E-MTAB-14039,Glandular_secretory,0,1,0,False
Mareckova_E-MTAB-14039,Immune_Lymphoid,5,6,5,True
Mareckova_E-MTAB-14039,Immune_Myeloid,5,5,5,True
Mareckova_E-MTAB-14039,SOX9_functionalis_II,4,4,4,True
Mareckova_E-MTAB-14039,SOX9_luminal,4,3,3,True
Mareckova_E-MTAB-14039,Venous,5,5,5,True
Mareckova_E-MTAB-14039,dStromal_early,3,5,3,True
Mareckova_E-MTAB-14039,dStromal_mid,1,2,1,False
Mareckova_E-MTAB-14039,eHormones,3,4,3,True
Mareckova_E-MTAB-14039,ePV_1b,2,3,2,False
Mareckova_E-MTAB-14039,ePV_2,4,5,4,True
Mareckova_E-MTAB-14039,eStromal,6,7,6,True
Mareckova_E-MTAB-14039,eStromal_cycling,4,5,4,True
Mareckova_E-MTAB-14039,preGlandular,4,4,4,True
Mareckova_E-MTAB-14039,preLuminal,1,1,1,False
