check,before,after,status
canonical_de_rows,221322,221322,identical
canonical_de_numeric_statistics,all gene/model rows,max absolute difference 0,identical
canonical_gsea_tests,800,800,identical
canonical_gsea_leading_edges,800,800,identical
concordant_pathway_celltype_pairs,52,52,unchanged
dstromal_concordant_pathways,9,9,unchanged
primary_significant_genes_fdr_0_10,12,12,unchanged
sensitivity_significant_genes_fdr_0_10,46,46,unchanged
primary_hallmarks_within_celltype_fdr_0_25,32,31,borderline permutation result consolidated
sensitivity_hallmarks_within_celltype_fdr_0_25,32,32,unchanged
drug_candidate_evidence_classes,6,6,identical
secretory_direction_checks_consistent,8/8,8/8,unchanged
