gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_symbol,dataset_id,cell_type,contrast,significant_fdr_0_10,effect_scope,direction,absolute_log2_fold_change,open_targets_queried,is_known_drug_target,has_approved_drug,n_drugs_or_candidates,best_clinical_stage,drug_names
ENSG00000273748,15.733147483260549,1.5794130757692049,0.28841568298186665,5.4761691855311,4.3463215903125013e-08,0.0005728451856031877,AL592183.1,Huang_GSE214411,dStromal_early,Endometriosis - Normal,True,Within Huang_GSE214411,higher_in_endometriosis,1.5794130757692049,True,False,False,0.0,,
ENSG00000135298,25.889349972061225,-1.2679728674984776,0.24950530692133835,-5.081947486985645,3.7358470390285147e-07,0.002461923198719791,ADGRB3,Huang_GSE214411,dStromal_early,Endometriosis - Normal,True,Within Huang_GSE214411,higher_in_normal,1.2679728674984776,True,False,False,0.0,,
ENSG00000204386,261.84797308921895,0.9836614269559332,0.19883013369954955,4.947245212047864,7.527113127171287e-07,0.002724537971239723,NEU1,Huang_GSE214411,dStromal_early,Endometriosis - Normal,True,Within Huang_GSE214411,higher_in_endometriosis,0.9836614269559332,True,False,False,0.0,,
ENSG00000248905,11.6635378131396,-1.6694462238337624,0.3387045274987249,-4.928916174112987,8.268704009832241e-07,0.002724537971239723,FMN1,Huang_GSE214411,dStromal_early,Endometriosis - Normal,True,Within Huang_GSE214411,higher_in_normal,1.6694462238337624,True,False,False,0.0,,
ENSG00000136997,448.4881725529473,1.3714342814153746,0.28179860238114884,4.866717825521472,1.1346685184897736e-06,0.002990986214739043,MYC,Huang_GSE214411,dStromal_early,Endometriosis - Normal,True,Within Huang_GSE214411,higher_in_endometriosis,1.3714342814153746,True,False,False,0.0,,
ENSG00000101665,51.68631275617535,1.453110086818202,0.3040760767440632,4.778771491587172,1.7636949770846207e-06,0.0038742499663292165,SMAD7,Huang_GSE214411,dStromal_early,Endometriosis - Normal,True,Within Huang_GSE214411,higher_in_endometriosis,1.453110086818202,True,True,False,1.0,PHASE_3,MONGERSEN SODIUM
ENSG00000114784,469.40060414246557,0.7220411105412331,0.15366374515791728,4.698838426716759,2.6164534097579612e-06,0.0049264079915157044,EIF1B,Huang_GSE214411,dStromal_early,Endometriosis - Normal,True,Within Huang_GSE214411,higher_in_endometriosis,0.7220411105412331,True,False,False,0.0,,
ENSG00000135678,60.683447034028326,-1.9020762596085297,0.43324564138905386,-4.39029519953201,1.1319688397213746e-05,0.01683079846227383,CPM,Huang_GSE214411,dStromal_early,Endometriosis - Normal,True,Within Huang_GSE214411,higher_in_normal,1.9020762596085297,True,False,False,0.0,,
ENSG00000106123,73.70260291954959,-0.9676131099408547,0.22056419198390842,-4.386990931018613,1.1492957978790932e-05,0.01683079846227383,EPHB6,Huang_GSE214411,dStromal_early,Endometriosis - Normal,True,Within Huang_GSE214411,higher_in_normal,0.9676131099408547,True,False,False,0.0,,
ENSG00000105329,127.83797289738679,0.6666285202497911,0.15278348747606416,4.363223613116101,1.2815982595989076e-05,0.0168914650615136,TGFB1,Huang_GSE214411,dStromal_early,Endometriosis - Normal,True,Within Huang_GSE214411,higher_in_endometriosis,0.6666285202497911,True,True,True,5.0,APPROVAL,BINTRAFUSP ALFA; FRESOLIMUMAB; LUSPATERCEPT; LY-2382770; METELIMUMAB
