gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_symbol,dataset_id,cell_type,contrast,significant_fdr_0_10,effect_scope,direction,absolute_log2_fold_change,open_targets_queried,is_known_drug_target,has_approved_drug,n_drugs_or_candidates,best_clinical_stage,drug_names
ENSG00000125144,54.46178261281493,3.009144737207494,0.5307499310894306,5.669609284792272,1.4312353383062132e-08,0.0001975534137464066,MT1G,Mareckova_E-MTAB-14039,dStromal_early,Endometriosis - Normal,True,Within Mareckova_E-MTAB-14039,higher_in_endometriosis,3.009144737207494,True,False,False,0.0,,
ENSG00000118785,13.451184112709182,4.389797933387412,0.8390056641467057,5.23214338231193,1.675556971860621e-07,0.0011563856441296075,SPP1,Mareckova_E-MTAB-14039,dStromal_early,Endometriosis - Normal,True,Within Mareckova_E-MTAB-14039,higher_in_endometriosis,4.389797933387412,True,True,False,1.0,PHASE_1_2,ASK-8007
ENSG00000228262,37.332959282493576,3.841449480714678,0.7797649059874272,4.926420067405056,8.374984952384594e-07,0.003853330576592152,LINC01320,Mareckova_E-MTAB-14039,dStromal_early,Endometriosis - Normal,True,Within Mareckova_E-MTAB-14039,higher_in_endometriosis,3.841449480714678,True,False,False,0.0,,
ENSG00000185885,98.26016898909725,1.8614499442195112,0.397903156034303,4.678148227753782,2.894772618992054e-06,0.009989136614986831,IFITM1,Mareckova_E-MTAB-14039,dStromal_early,Endometriosis - Normal,True,Within Mareckova_E-MTAB-14039,higher_in_endometriosis,1.8614499442195112,True,False,False,0.0,,
ENSG00000019582,30.38489516835414,2.6056790445220335,0.5973226129638837,4.362264190188264,1.2872329620150203e-05,0.03553535314938665,CD74,Mareckova_E-MTAB-14039,dStromal_early,Endometriosis - Normal,True,Within Mareckova_E-MTAB-14039,higher_in_endometriosis,2.6056790445220335,True,True,True,2.0,APPROVAL,MILATUZUMAB; REPOTRECTINIB
ENSG00000215845,23.214332347215397,2.21758005246002,0.5294361060235881,4.188569739067285,2.807180480025934e-05,0.06457918694299661,TSTD1,Mareckova_E-MTAB-14039,dStromal_early,Endometriosis - Normal,True,Within Mareckova_E-MTAB-14039,higher_in_endometriosis,2.21758005246002,True,False,False,0.0,,
ENSG00000205502,9.00994149168228,4.1481052506861635,1.0149837956332908,4.086868449065226,4.372348711487791e-05,0.08621647037809425,C2CD4B,Mareckova_E-MTAB-14039,dStromal_early,Endometriosis - Normal,True,Within Mareckova_E-MTAB-14039,higher_in_endometriosis,4.1481052506861635,True,False,False,0.0,,
ENSG00000196436,16.811537745266396,-2.9426270571395188,0.7339279418559763,-4.009422300639114,6.086747687108307e-05,0.09368814995922596,NPIPB15,Mareckova_E-MTAB-14039,dStromal_early,Endometriosis - Normal,True,Within Mareckova_E-MTAB-14039,higher_in_normal,2.9426270571395188,True,False,False,0.0,,
ENSG00000135480,12.772773313730678,3.6835890071568143,0.9250750055132841,3.981935502746558,6.835633137053647e-05,0.09368814995922596,KRT7,Mareckova_E-MTAB-14039,dStromal_early,Endometriosis - Normal,True,Within Mareckova_E-MTAB-14039,higher_in_endometriosis,3.6835890071568143,True,False,False,0.0,,
ENSG00000205364,11.092864227939131,3.0131722400478633,0.7626063451438395,3.9511502352888654,7.777647860254564e-05,0.09368814995922596,MT1M,Mareckova_E-MTAB-14039,dStromal_early,Endometriosis - Normal,True,Within Mareckova_E-MTAB-14039,higher_in_endometriosis,3.0131722400478633,True,False,False,0.0,,
ENSG00000183098,63.545215795146774,1.8575992422269088,0.47138571172107385,3.9407202977040567,8.123730598633232e-05,0.09368814995922596,GPC6,Mareckova_E-MTAB-14039,dStromal_early,Endometriosis - Normal,True,Within Mareckova_E-MTAB-14039,higher_in_endometriosis,1.8575992422269088,True,False,False,0.0,,
ENSG00000255823,292.4591903462102,2.539572065157262,0.6445463311837125,3.9400923444763474,8.1450249910216e-05,0.09368814995922596,MTRNR2L8,Mareckova_E-MTAB-14039,dStromal_early,Endometriosis - Normal,True,Within Mareckova_E-MTAB-14039,higher_in_endometriosis,2.539572065157262,True,False,False,0.0,,
