donor_id,dataset_id,disease_group,menstrual_cycle_stage_fine,n_dStromal_early,n_stromal,proportion
GSE214411::EMS1,Huang_GSE214411,Endometriosis,Secretory Early,1793,3534,0.5073571024335031
GSE214411::EMS2,Huang_GSE214411,Endometriosis,Proliferative,99,3598,0.027515286270150083
GSE214411::EMS3,Huang_GSE214411,Endometriosis,Proliferative,50,1575,0.031746031746031744
GSE214411::EMS4,Huang_GSE214411,Endometriosis,Proliferative,81,2104,0.03849809885931559
GSE214411::EMS5,Huang_GSE214411,Endometriosis,Secretory Mid,1797,2394,0.7506265664160401
GSE214411::EMS6,Huang_GSE214411,Endometriosis,Secretory Mid,936,2240,0.41785714285714287
GSE214411::N1,Huang_GSE214411,Normal,Secretory Mid,110,2851,0.03858295334970186
GSE214411::N2,Huang_GSE214411,Normal,Proliferative,454,4814,0.0943082675529705
GSE214411::N3,Huang_GSE214411,Normal,Proliferative,130,7208,0.018035516093229745
GSE214411::N4,Huang_GSE214411,Normal,Proliferative,87,3164,0.027496839443742097
GSE214411::N5,Huang_GSE214411,Normal,Unknown,1597,2009,0.7949228471876556
GSE214411::N6,Huang_GSE214411,Normal,Unknown,252,3912,0.06441717791411043
GSE214411::N7,Huang_GSE214411,Normal,Unknown,1484,5108,0.29052466718872355
Mareckova_E-MTAB-14039::A70,Mareckova_E-MTAB-14039,Normal,Proliferative,0,337,0.0
Mareckova_E-MTAB-14039::ES345,Mareckova_E-MTAB-14039,Normal,Secretory Early,3745,4413,0.8486290505325176
Mareckova_E-MTAB-14039::FX1119,Mareckova_E-MTAB-14039,Normal,Proliferative,16,770,0.02077922077922078
Mareckova_E-MTAB-14039::FX1125,Mareckova_E-MTAB-14039,Endometriosis,Proliferative,57,3603,0.01582014987510408
Mareckova_E-MTAB-14039::FX1146,Mareckova_E-MTAB-14039,Normal,Proliferative,854,7008,0.1218607305936073
Mareckova_E-MTAB-14039::FX1156,Mareckova_E-MTAB-14039,Endometriosis,Secretory Mid,193,9370,0.020597652081109925
Mareckova_E-MTAB-14039::FX1176,Mareckova_E-MTAB-14039,Endometriosis,Proliferative,53,1953,0.02713773681515617
Mareckova_E-MTAB-14039::FX1249,Mareckova_E-MTAB-14039,Endometriosis,Hormones,33,1315,0.025095057034220533
Mareckova_E-MTAB-14039::FX1254,Mareckova_E-MTAB-14039,Endometriosis,Hormones,6,923,0.0065005417118093175
Mareckova_E-MTAB-14039::FX1259,Mareckova_E-MTAB-14039,Endometriosis,Proliferative Late,63,4268,0.014761012183692596
Mareckova_E-MTAB-14039::FX1285,Mareckova_E-MTAB-14039,Endometriosis,Proliferative Early,2,83,0.024096385542168676
Mareckova_E-MTAB-14039::FX1289,Mareckova_E-MTAB-14039,Endometriosis,Proliferative Late,3,166,0.018072289156626505
Mareckova_E-MTAB-14039::FX9006,Mareckova_E-MTAB-14039,Endometriosis,Secretory Early,3827,11784,0.3247623896809233
Mareckova_E-MTAB-14039::SE02,Mareckova_E-MTAB-14039,Normal,Proliferative Early,0,33,0.0
Mareckova_E-MTAB-14039::SE03,Mareckova_E-MTAB-14039,Normal,Proliferative,6,248,0.024193548387096774
Mareckova_E-MTAB-14039::SE06,Mareckova_E-MTAB-14039,Normal,Menstrual,66,1036,0.0637065637065637
