dataset_id,donor_id,disease_group,cycle_group,menstrual_cycle_stage_fine,gene_symbol,gene_id,raw_count,size_factor,normalized_count,log2_normalized_count_plus_1
Mareckova_E-MTAB-14039,Mareckova_E-MTAB-14039::ES345,Normal,Secretory,Secretory Early,SPP1,ENSG00000118785,22,8.419806218082938,2.612886737553571,1.853152027609807
Mareckova_E-MTAB-14039,Mareckova_E-MTAB-14039::FX1125,Endometriosis,Proliferative,Proliferative,SPP1,ENSG00000118785,0,0.3067153561051866,0.0,0.0
Mareckova_E-MTAB-14039,Mareckova_E-MTAB-14039::FX1146,Normal,Proliferative,Proliferative,SPP1,ENSG00000118785,0,3.5597126142943196,0.0,0.0
Mareckova_E-MTAB-14039,Mareckova_E-MTAB-14039::FX1156,Endometriosis,Secretory,Secretory Mid,SPP1,ENSG00000118785,23,0.44748037667506135,51.39890193822173,5.711464674114196
Mareckova_E-MTAB-14039,Mareckova_E-MTAB-14039::FX1176,Endometriosis,Proliferative,Proliferative,SPP1,ENSG00000118785,0,0.2430216186995888,0.0,0.0
Mareckova_E-MTAB-14039,Mareckova_E-MTAB-14039::FX1259,Endometriosis,Proliferative,Proliferative Late,SPP1,ENSG00000118785,2,0.29063327321060867,6.881524534015385,2.9784747191397525
Mareckova_E-MTAB-14039,Mareckova_E-MTAB-14039::FX9006,Endometriosis,Secretory,Secretory Early,SPP1,ENSG00000118785,457,9.586025886494385,47.67356205910739,5.605066453579461
Mareckova_E-MTAB-14039,Mareckova_E-MTAB-14039::SE06,Normal,Menstrual,Menstrual,SPP1,ENSG00000118785,0,0.35904146829335765,0.0,0.0
Mareckova_E-MTAB-14039,Mareckova_E-MTAB-14039::ES345,Normal,Secretory,Secretory Early,CD74,ENSG00000019582,17,8.419806218082938,2.019048842655032,1.5940940971914515
Mareckova_E-MTAB-14039,Mareckova_E-MTAB-14039::FX1125,Endometriosis,Proliferative,Proliferative,CD74,ENSG00000019582,9,0.3067153561051866,29.343167274981475,4.923299779464361
Mareckova_E-MTAB-14039,Mareckova_E-MTAB-14039::FX1146,Normal,Proliferative,Proliferative,CD74,ENSG00000019582,44,3.5597126142943196,12.360548383404428,3.739907319299738
Mareckova_E-MTAB-14039,Mareckova_E-MTAB-14039::FX1156,Endometriosis,Secretory,Secretory Mid,CD74,ENSG00000019582,16,0.44748037667506135,35.75575787006729,5.199898363881671
Mareckova_E-MTAB-14039,Mareckova_E-MTAB-14039::FX1176,Endometriosis,Proliferative,Proliferative,CD74,ENSG00000019582,14,0.2430216186995888,57.60804357618119,5.873026773717731
Mareckova_E-MTAB-14039,Mareckova_E-MTAB-14039::FX1259,Endometriosis,Proliferative,Proliferative Late,CD74,ENSG00000019582,9,0.29063327321060867,30.966860403069234,4.9985051529455955
Mareckova_E-MTAB-14039,Mareckova_E-MTAB-14039::FX9006,Endometriosis,Secretory,Secretory Early,CD74,ENSG00000019582,284,9.586025886494385,29.626458697563457,4.93670665428825
Mareckova_E-MTAB-14039,Mareckova_E-MTAB-14039::SE06,Normal,Menstrual,Menstrual,CD74,ENSG00000019582,17,0.35904146829335765,47.348291217743174,5.595392996063062
Mareckova_E-MTAB-14039,Mareckova_E-MTAB-14039::ES345,Normal,Secretory,Secretory Early,SMAD7,ENSG00000101665,726,8.419806218082938,86.22526233926784,6.44667412637255
Mareckova_E-MTAB-14039,Mareckova_E-MTAB-14039::FX1125,Endometriosis,Proliferative,Proliferative,SMAD7,ENSG00000101665,22,0.3067153561051866,71.72774222773249,6.184433884614659
Mareckova_E-MTAB-14039,Mareckova_E-MTAB-14039::FX1146,Normal,Proliferative,Proliferative,SMAD7,ENSG00000101665,292,3.5597126142943196,82.02909381713847,6.375545047623818
Mareckova_E-MTAB-14039,Mareckova_E-MTAB-14039::FX1156,Endometriosis,Secretory,Secretory Mid,SMAD7,ENSG00000101665,18,0.44748037667506135,40.2252276038257,5.365455553668459
Mareckova_E-MTAB-14039,Mareckova_E-MTAB-14039::FX1176,Endometriosis,Proliferative,Proliferative,SMAD7,ENSG00000101665,11,0.2430216186995888,45.26346280985665,5.53180135030454
Mareckova_E-MTAB-14039,Mareckova_E-MTAB-14039::FX1259,Endometriosis,Proliferative,Proliferative Late,SMAD7,ENSG00000101665,18,0.29063327321060867,61.93372080613847,5.975761336222183
Mareckova_E-MTAB-14039,Mareckova_E-MTAB-14039::FX9006,Endometriosis,Secretory,Secretory Early,SMAD7,ENSG00000101665,401,9.586025886494385,41.83172513282727,5.420607880695646
Mareckova_E-MTAB-14039,Mareckova_E-MTAB-14039::SE06,Normal,Menstrual,Menstrual,SMAD7,ENSG00000101665,25,0.35904146829335765,69.62984002609291,6.142205923743423
Mareckova_E-MTAB-14039,Mareckova_E-MTAB-14039::ES345,Normal,Secretory,Secretory Early,TGFB1,ENSG00000105329,1085,8.419806218082938,128.86282319298294,7.020844668508131
