,value
primary_dataset,Mareckova_E-MTAB-14039
sensitivity_dataset,Huang_GSE214411
celltype_pathway_models_fitted,16
celltype_pathway_models_planned,16
celltype_pathway_pairs_concordant_and_significant_both,52
dstromal_concordant_significant_pathways,9
primary_significant_genes_fdr_0_10,12
sensitivity_significant_genes_fdr_0_10,46
primary_hallmark_pathways_fdr_0_25,31
sensitivity_hallmark_pathways_fdr_0_25,32
hallmark_pathways_direction_concordant,25
hallmark_pathways_compared,50
key_gene_secretory_directions_consistent,8
key_gene_secretory_comparisons,8
