library_id,phase,n_cells_available,n_cells_selected
GSE214411::GSM6605431,G1,8623,400
GSE214411::GSM6605431,G2M,655,400
GSE214411::GSM6605431,S,382,382
GSE214411::GSM6605432,G1,7235,400
GSE214411::GSM6605432,G2M,1217,400
GSE214411::GSM6605432,S,853,400
GSE214411::GSM6605433,G1,6191,400
GSE214411::GSM6605433,G2M,472,400
GSE214411::GSM6605433,S,303,303
GSE214411::GSM6605434,G1,6807,400
GSE214411::GSM6605434,G2M,674,400
GSE214411::GSM6605434,S,360,360
GSE214411::GSM6605435,G1,10300,400
GSE214411::GSM6605435,G2M,1987,400
GSE214411::GSM6605435,S,553,400
GSE214411::GSM6605436,G1,7711,400
GSE214411::GSM6605436,G2M,407,400
GSE214411::GSM6605436,S,206,206
GSE214411::GSM6605437,G1,7805,400
GSE214411::GSM6605437,G2M,205,205
GSE214411::GSM6605437,S,184,184
GSE214411::GSM6605438,G1,6130,400
GSE214411::GSM6605438,G2M,509,400
GSE214411::GSM6605438,S,344,344
GSE214411::GSM6605439,G1,9325,400
GSE214411::GSM6605439,G2M,1536,400
GSE214411::GSM6605439,S,1346,400
GSE214411::GSM6605440,G1,6016,400
GSE214411::GSM6605440,G2M,642,400
GSE214411::GSM6605440,S,529,400
GSE214411::GSM7277296,G1,6936,400
GSE214411::GSM7277296,G2M,431,400
GSE214411::GSM7277296,S,293,293
GSE214411::GSM7277297,G1,3868,400
GSE214411::GSM7277297,G2M,920,400
GSE214411::GSM7277297,S,1251,400
GSE214411::GSM7277298,G1,6563,400
GSE214411::GSM7277298,G2M,538,400
GSE214411::GSM7277298,S,478,400
Mareckova_E-MTAB-14039::FRZFRESH_GX25,G1,2665,400
Mareckova_E-MTAB-14039::FRZFRESH_GX25,G2M,100,100
Mareckova_E-MTAB-14039::FRZFRESH_GX25,S,81,81
Mareckova_E-MTAB-14039::FRZFRESH_GX26,G1,2156,400
Mareckova_E-MTAB-14039::FRZFRESH_GX26,G2M,144,144
Mareckova_E-MTAB-14039::FRZFRESH_GX26,S,58,58
Mareckova_E-MTAB-14039::FRZFRESH_GX27,G1,3297,400
Mareckova_E-MTAB-14039::FRZFRESH_GX27,G2M,125,125
Mareckova_E-MTAB-14039::FRZFRESH_GX27,S,71,71
Mareckova_E-MTAB-14039::FRZFRESH_GX28,G1,1655,400
Mareckova_E-MTAB-14039::FRZFRESH_GX28,G2M,139,139
Mareckova_E-MTAB-14039::FRZFRESH_GX28,S,50,50
Mareckova_E-MTAB-14039::HCA_A_RepT_RNA13247830,G1,7005,400
Mareckova_E-MTAB-14039::HCA_A_RepT_RNA13247830,G2M,22,22
Mareckova_E-MTAB-14039::HCA_A_RepT_RNA13247830,S,10,10
Mareckova_E-MTAB-14039::UA_Endo10298210,G1,6265,400
Mareckova_E-MTAB-14039::UA_Endo10298210,G2M,474,400
Mareckova_E-MTAB-14039::UA_Endo10298210,S,365,365
Mareckova_E-MTAB-14039::UA_Endo10298211,G1,801,400
Mareckova_E-MTAB-14039::UA_Endo10298211,G2M,117,117
Mareckova_E-MTAB-14039::UA_Endo10298211,S,64,64
Mareckova_E-MTAB-14039::UA_Endo10298212,G1,7179,400
Mareckova_E-MTAB-14039::UA_Endo10298212,G2M,635,400
Mareckova_E-MTAB-14039::UA_Endo10298212,S,485,400
Mareckova_E-MTAB-14039::UA_Endo10298213,G1,5003,400
Mareckova_E-MTAB-14039::UA_Endo10298213,G2M,472,400
Mareckova_E-MTAB-14039::UA_Endo10298213,S,391,391
Mareckova_E-MTAB-14039::UA_Endo12680031,G1,4900,400
Mareckova_E-MTAB-14039::UA_Endo12680031,G2M,1252,400
Mareckova_E-MTAB-14039::UA_Endo12680031,S,833,400
Mareckova_E-MTAB-14039::UA_Endo12680032,G1,1751,400
Mareckova_E-MTAB-14039::UA_Endo12680032,G2M,311,311
Mareckova_E-MTAB-14039::UA_Endo12680032,S,229,229
Mareckova_E-MTAB-14039::UA_Endo12680033,G1,8363,400
Mareckova_E-MTAB-14039::UA_Endo12680033,G2M,137,137
Mareckova_E-MTAB-14039::UA_Endo12680033,S,98,98
Mareckova_E-MTAB-14039::UA_Endo12680034,G1,4030,400
Mareckova_E-MTAB-14039::UA_Endo12680034,G2M,130,130
Mareckova_E-MTAB-14039::UA_Endo12680034,S,111,111
Mareckova_E-MTAB-14039::UA_Endo12961679,G1,324,324
Mareckova_E-MTAB-14039::UA_Endo12961679,G2M,17,17
Mareckova_E-MTAB-14039::UA_Endo12961679,S,15,15
Mareckova_E-MTAB-14039::UA_Endo12961680,G1,46,46
Mareckova_E-MTAB-14039::UA_Endo12961680,G2M,17,17
Mareckova_E-MTAB-14039::UA_Endo12961680,S,10,10
Mareckova_E-MTAB-14039::UA_Endo12961681,G1,437,400
Mareckova_E-MTAB-14039::UA_Endo12961681,G2M,62,62
Mareckova_E-MTAB-14039::UA_Endo12961681,S,65,65
Mareckova_E-MTAB-14039::UA_Endo12961682,G1,393,393
Mareckova_E-MTAB-14039::UA_Endo12961682,G2M,201,201
Mareckova_E-MTAB-14039::UA_Endo12961682,S,77,77
Mareckova_E-MTAB-14039::UA_Endo13646709,G1,1226,400
Mareckova_E-MTAB-14039::UA_Endo13646709,G2M,130,130
Mareckova_E-MTAB-14039::UA_Endo13646709,S,138,138
Mareckova_E-MTAB-14039::UA_Endo9426399,G1,7066,400
Mareckova_E-MTAB-14039::UA_Endo9426399,G2M,681,400
Mareckova_E-MTAB-14039::UA_Endo9426399,S,745,400
Mareckova_E-MTAB-14039::UA_Endo9426400,G1,1358,400
Mareckova_E-MTAB-14039::UA_Endo9426400,G2M,1090,400
Mareckova_E-MTAB-14039::UA_Endo9426400,S,95,95
Mareckova_E-MTAB-14039::UA_Endo9426401,G1,13461,400
Mareckova_E-MTAB-14039::UA_Endo9426401,G2M,1911,400
Mareckova_E-MTAB-14039::UA_Endo9426401,S,1114,400
Mareckova_E-MTAB-14039::UA_Endo9426402,G1,884,400
Mareckova_E-MTAB-14039::UA_Endo9426402,G2M,31,31
Mareckova_E-MTAB-14039::UA_Endo9426402,S,32,32
