donor_id,n_cells_before,n_cells_pass,n_fail_low_genes,n_fail_high_mito,n_predicted_doublets,retention_percent
GSE214411::N2,12901,6983,4832,2173,153,54.12758700875901
GSE214411::N1,14695,8194,5401,5228,386,55.7604627424294
GSE214411::EMS5,19250,12840,4807,2281,67,66.7012987012987
GSE214411::N6,9008,6039,2408,1613,244,67.04040852575488
GSE214411::N3,17806,12207,5355,759,659,68.55554307536785
GSE214411::EMS4,11335,7841,2899,1279,198,69.17512130569034
GSE214411::EMS6,10792,8324,1835,1370,227,77.13120830244625
GSE214411::N4,9085,7187,1524,739,227,79.10842047330765
GSE214411::EMS1,12162,9660,1843,1472,494,79.42772570300937
GSE214411::EMS3,8765,6966,1487,812,195,79.4751853964632
GSE214411::EMS2,11534,9305,1955,514,287,80.67452748396046
GSE214411::N5,9371,7660,1311,985,231,81.74154305837158
GSE214411::N7,8657,7579,928,392,3,87.54764930114358
Mareckova_E-MTAB-14039::FX1146,11243,11035,34,174,2,98.14995997509561
Mareckova_E-MTAB-14039::FX9006,17101,16927,110,66,38,98.9825156423601
Mareckova_E-MTAB-14039::FX1156,14796,14671,80,45,49,99.1551770748851
Mareckova_E-MTAB-14039::FX1289,372,369,1,2,1,99.19354838709677
Mareckova_E-MTAB-14039::FX1259,8005,7945,27,33,6,99.25046845721424
Mareckova_E-MTAB-14039::FX1176,3478,3461,7,10,36,99.51121334100057
Mareckova_E-MTAB-14039::SE02,212,211,1,0,1,99.52830188679245
Mareckova_E-MTAB-14039::A70,7067,7037,14,16,225,99.57549172208859
Mareckova_E-MTAB-14039::SE06,1500,1494,5,1,5,99.6
Mareckova_E-MTAB-14039::ES345,10582,10541,7,34,54,99.61254961254961
Mareckova_E-MTAB-14039::SE03,869,866,2,1,2,99.6547756041427
Mareckova_E-MTAB-14039::FX1254,6210,6189,13,8,70,99.66183574879227
Mareckova_E-MTAB-14039::FX1249,6700,6680,6,14,43,99.70149253731343
Mareckova_E-MTAB-14039::FX1125,4638,4625,5,8,46,99.71970677015955
Mareckova_E-MTAB-14039::FX1119,1332,1331,1,0,0,99.92492492492492
Mareckova_E-MTAB-14039::FX1285,218,218,0,0,2,100.0
