library_id,n_cells_before,n_cells_pass,n_fail_low_genes,n_fail_high_mito,n_predicted_doublets,retention_percent
GSE214411::GSM6605438,12901,6983,4832,2173,153,54.12758700875901
GSE214411::GSM6605437,14695,8194,5401,5228,386,55.7604627424294
GSE214411::GSM6605435,19250,12840,4807,2281,67,66.7012987012987
GSE214411::GSM7277297,9008,6039,2408,1613,244,67.04040852575488
GSE214411::GSM6605439,17806,12207,5355,759,659,68.55554307536785
GSE214411::GSM6605434,11335,7841,2899,1279,198,69.17512130569034
GSE214411::GSM6605436,10792,8324,1835,1370,227,77.13120830244625
GSE214411::GSM6605440,9085,7187,1524,739,227,79.10842047330765
GSE214411::GSM6605431,12162,9660,1843,1472,494,79.42772570300937
GSE214411::GSM6605433,8765,6966,1487,812,195,79.4751853964632
GSE214411::GSM6605432,11534,9305,1955,514,287,80.67452748396046
GSE214411::GSM7277296,9371,7660,1311,985,231,81.74154305837158
GSE214411::GSM7277298,8657,7579,928,392,3,87.54764930114358
Mareckova_E-MTAB-14039::UA_Endo9426400,2658,2543,1,114,2,95.67343867569602
Mareckova_E-MTAB-14039::UA_Endo9426399,8585,8492,33,60,0,98.91671520093186
Mareckova_E-MTAB-14039::UA_Endo9426401,16653,16486,131,37,28,98.99717768570227
Mareckova_E-MTAB-14039::UA_Endo10298212,8378,8299,36,44,53,99.05705418954405
Mareckova_E-MTAB-14039::UA_Endo12680031,7045,6985,28,32,2,99.14833215046131
Mareckova_E-MTAB-14039::UA_Endo10298213,5914,5866,21,27,5,99.18836658775787
Mareckova_E-MTAB-14039::UA_Endo12961681,568,564,2,2,1,99.29577464788733
Mareckova_E-MTAB-14039::UA_Endo10298211,988,982,2,4,4,99.39271255060729
Mareckova_E-MTAB-14039::FRZFRESH_GX28,1855,1844,0,11,0,99.40700808625337
Mareckova_E-MTAB-14039::FRZFRESH_GX26,2371,2358,0,13,1,99.4517081400253
Mareckova_E-MTAB-14039::UA_Endo9426402,952,947,2,3,1,99.47478991596638
Mareckova_E-MTAB-14039::HCA_A_RepT_RNA13247830,7067,7037,14,16,225,99.57549172208859
Mareckova_E-MTAB-14039::UA_Endo13646709,1500,1494,5,1,5,99.6
Mareckova_E-MTAB-14039::FRZFRESH_GX27,3507,3493,5,9,46,99.60079840319361
Mareckova_E-MTAB-14039::UA_Endo12680033,8632,8598,17,17,109,99.60611677479147
Mareckova_E-MTAB-14039::UA_Endo10298210,7128,7104,10,14,78,99.66329966329967
Mareckova_E-MTAB-14039::UA_Endo12961682,673,671,1,1,2,99.70282317979198
Mareckova_E-MTAB-14039::UA_Endo12961679,357,356,1,0,3,99.71988795518207
Mareckova_E-MTAB-14039::UA_Endo12680034,4278,4271,2,5,4,99.8363721365124
Mareckova_E-MTAB-14039::FRZFRESH_GX25,2849,2846,2,1,7,99.8946998946999
Mareckova_E-MTAB-14039::UA_Endo12680032,2292,2291,0,1,4,99.956369982548
Mareckova_E-MTAB-14039::UA_Endo12961680,73,73,0,0,0,100.0
