sample_id,n_cells_before,n_cells_pass,n_fail_low_genes,n_fail_high_mito,n_predicted_doublets,retention_percent
GSM6605438_N2,12901,6983,4832,2173,153,54.12758700875901
GSM6605437_N1,14695,8194,5401,5228,386,55.7604627424294
GSM6605435_EMS5,19250,12840,4807,2281,67,66.7012987012987
GSM7277297_N-6,9008,6039,2408,1613,244,67.04040852575488
GSM6605439_N3,17806,12207,5355,759,659,68.55554307536785
GSM6605434_EMS4,11335,7841,2899,1279,198,69.17512130569034
GSM6605436_EMS6,10792,8324,1835,1370,227,77.13120830244625
GSM6605440_N4,9085,7187,1524,739,227,79.10842047330765
GSM6605431_EMS1,12162,9660,1843,1472,494,79.42772570300937
GSM6605433_EMS3,8765,6966,1487,812,195,79.4751853964632
GSM6605432_EMS2,11534,9305,1955,514,287,80.67452748396046
GSM7277296_N-5,9371,7660,1311,985,231,81.74154305837158
GSM7277298_N-7,8657,7579,928,392,3,87.54764930114358
UA_Endo9426400_FX1146,2658,2543,1,114,2,95.67343867569602
UA_Endo10298212_FX9006,5149,5090,32,28,23,98.8541464362012
UA_Endo9426399_FX1146,8585,8492,33,60,0,98.91671520093186
UA_Endo9426401_FX9006,9439,9337,77,26,12,98.91937705265389
UA_Endo12680031_FX1259,5713,5654,27,32,2,98.96726763521792
UA_Endo10298213_FX1156,3559,3523,20,16,2,98.98847991008711
UA_Endo9426401_FX1156,7214,7149,54,11,16,99.09897421680067
UA_Endo12961681_FX1289,244,242,0,2,1,99.18032786885246
UA_Endo12961682_FX1289,128,127,1,0,0,99.21875
UA_Endo10298211_FX1176,943,937,2,4,4,99.36373276776246
UA_Endo9426402_FX9006,158,157,0,1,0,99.36708860759494
UA_Endo10298212_FX1156,3229,3209,4,16,30,99.380613192939
UA_Endo12961681_SE03,324,322,2,0,0,99.38271604938272
FRZFRESH_GX28_ES345,1855,1844,0,11,0,99.40700808625337
UA_Endo12961679_SE02,172,171,1,0,1,99.4186046511628
FRZFRESH_GX26_ES345,2371,2358,0,13,1,99.4517081400253
UA_Endo10298213_FX9006,2355,2343,1,11,3,99.49044585987261
UA_Endo9426402_FX1156,794,790,2,2,1,99.49622166246851
UA_Endo10298210_FX1176,2535,2524,5,6,32,99.56607495069034
HCA_A_RepT_RNA13247830_A70,7067,7037,14,16,225,99.57549172208859
UA_Endo12680033_FX1254,5107,5086,13,8,66,99.58879968670452
UA_Endo13646709_SE06,1500,1494,5,1,5,99.6
FRZFRESH_GX27_ES345,3507,3493,5,9,46,99.60079840319361
UA_Endo12680033_FX1249,3525,3512,4,9,43,99.63120567375887
UA_Endo10298210_FX1125,4593,4580,5,8,46,99.71696059220552
UA_Endo12680034_FX1249,3175,3168,2,5,0,99.77952755905511
UA_Endo12961682_SE03,545,544,0,1,2,99.81651376146789
FRZFRESH_GX25_ES345,2849,2846,2,1,7,99.8946998946999
UA_Endo12680031_FX1119,1332,1331,1,0,0,99.92492492492492
UA_Endo12680032_FX1259,2292,2291,0,1,4,99.956369982548
UA_Endo12961679_FX1285,185,185,0,0,2,100.0
UA_Endo12680034_FX1254,1103,1103,0,0,4,100.0
UA_Endo10298211_FX1125,45,45,0,0,0,100.0
UA_Endo12961680_SE02,40,40,0,0,0,100.0
UA_Endo12961680_FX1285,33,33,0,0,0,100.0
