library_id,n_cells,n_scored,median_doublet_score,predicted_doublets,predicted_doublet_percent
GSE214411::GSM6605431,12162,10612,0.062228654124457314,494,4.655107425555975
GSE214411::GSM6605432,11534,10993,0.07016191210485735,287,2.6107522969162194
GSE214411::GSM6605433,8765,7946,0.054858934169279006,195,2.4540649383337527
GSE214411::GSM6605434,11335,10049,0.07653490328006729,198,1.9703453079908448
GSE214411::GSM6605435,19250,16967,0.1125718981101068,67,0.39488418695114047
GSE214411::GSM6605436,10792,9420,0.05608157319737801,227,2.4097664543524417
GSE214411::GSM6605437,14695,9462,0.07049180327868854,386,4.0794757979285565
GSE214411::GSM6605438,12901,10726,0.115987460815047,153,1.4264404251351854
GSE214411::GSM6605439,17806,17034,0.0656324582338902,659,3.8687331219913115
GSE214411::GSM6605440,9085,8345,0.06532663316582915,227,2.720191731575794
GSE214411::GSM7277296,9371,8380,0.05263157894736842,231,2.756563245823389
GSE214411::GSM7277297,9008,7091,0.09010989010989012,244,3.4409815258778735
GSE214411::GSM7277298,8657,8262,0.10199556541019952,3,0.03631082062454612
Mareckova_E-MTAB-14039::FRZFRESH_GX25,2849,2848,0.1141732283464567,7,0.24578651685393257
Mareckova_E-MTAB-14039::FRZFRESH_GX26,2371,2358,0.11607142857142858,1,0.04240882103477523
Mareckova_E-MTAB-14039::FRZFRESH_GX27,3507,3498,0.09433962264150943,46,1.315037164093768
Mareckova_E-MTAB-14039::FRZFRESH_GX28,1855,1844,0.11111111111111112,0,0.0
Mareckova_E-MTAB-14039::HCA_A_RepT_RNA13247830,7067,7050,0.04672897196261682,225,3.1914893617021276
Mareckova_E-MTAB-14039::UA_Endo10298210,7128,7114,0.07288629737609328,78,1.0964295754849593
Mareckova_E-MTAB-14039::UA_Endo10298211,988,984,0.09734513274336284,4,0.4065040650406504
Mareckova_E-MTAB-14039::UA_Endo10298212,8378,8333,0.09090909090909093,53,0.6360254410176407
Mareckova_E-MTAB-14039::UA_Endo10298213,5914,5887,0.07296137339055793,5,0.08493290300662476
Mareckova_E-MTAB-14039::UA_Endo12680031,7045,7011,0.0847457627118644,2,0.028526601055484237
Mareckova_E-MTAB-14039::UA_Endo12680032,2292,2291,0.09819639278557113,4,0.17459624618070713
Mareckova_E-MTAB-14039::UA_Endo12680033,8632,8614,0.05263157894736842,109,1.2653819363826329
Mareckova_E-MTAB-14039::UA_Endo12680034,4278,4273,0.07810499359795134,4,0.0936110461034402
Mareckova_E-MTAB-14039::UA_Endo12961679,357,357,0.07296137339055793,3,0.8403361344537815
Mareckova_E-MTAB-14039::UA_Endo12961680,73,0,,0,
Mareckova_E-MTAB-14039::UA_Endo12961681,568,566,0.10743801652892564,1,0.17667844522968199
Mareckova_E-MTAB-14039::UA_Endo12961682,673,672,0.10687022900763361,2,0.2976190476190476
Mareckova_E-MTAB-14039::UA_Endo13646709,1500,1499,0.09774436090225562,5,0.333555703802535
Mareckova_E-MTAB-14039::UA_Endo9426399,8585,8524,0.09623430962343096,0,0.0
Mareckova_E-MTAB-14039::UA_Endo9426400,2658,2542,0.19999999999999998,2,0.07867820613690008
Mareckova_E-MTAB-14039::UA_Endo9426401,16653,16613,0.0972644376899696,28,0.16854270751820863
Mareckova_E-MTAB-14039::UA_Endo9426402,952,949,0.0971786833855799,1,0.1053740779768177
